Training Log - 20250611_125912
Parameters:
  Sequence Length: 32
  Correlation Strength Param: 8
  Train Dataset Size: 1000
  Test Dataset Size: 100
  Model: 2 layers, d_model=256, nhead=4
  Training Steps: 20000
  Batch Size: 32
  Learning Rate: 0.0001
Theoretical True Per-Bit Entropy (Lower Bound NLL): 0.6616

Step,Model_NLL,Memorization_Accuracy(Train),Generalization_Accuracy(Test)
200,0.6790,63.31,62.81
400,0.6797,61.09,62.81
600,0.6665,61.90,62.81
800,0.6821,62.50,62.81
1000,0.6655,64.72,62.81
1200,0.6663,64.21,62.81
1400,0.6690,60.48,62.81
1600,0.6636,60.08,62.81
1800,0.6645,62.40,62.81
2000,0.6623,63.51,62.81
2200,0.6597,63.81,62.81
2400,0.6363,60.18,62.81
2600,0.6677,64.42,62.81
2800,0.6573,61.69,62.81
3000,0.6639,61.39,62.81
3200,0.6811,62.40,62.81
3400,0.6541,63.51,62.81
3600,0.6562,63.81,62.81
3800,0.6560,62.00,62.81
4000,0.6358,60.69,62.81
4200,0.6586,63.31,62.81
4400,0.6560,62.50,62.81
4600,0.6850,63.71,62.71
4800,0.6665,64.31,62.68
5000,0.6507,64.31,62.61
5200,0.6624,61.79,62.65
5400,0.6627,61.59,62.68
5600,0.6892,64.21,62.61
5800,0.6602,64.82,62.65
6000,0.6601,62.80,62.61
6200,0.6553,61.69,62.61
6400,0.6496,62.50,62.55
6600,0.6670,64.62,62.42
6800,0.6676,58.17,61.84
7000,0.6611,62.70,62.58
7200,0.6403,64.82,62.32
7400,0.6428,62.10,62.52
7600,0.6574,62.20,62.61
7800,0.6694,66.23,62.26
8000,0.6729,62.40,62.19
8200,0.6590,62.70,62.16
8400,0.6723,63.51,62.10
8600,0.6575,63.31,62.29
8800,0.6588,63.91,62.39
9000,0.6581,64.92,62.06
9200,0.6500,63.00,61.29
9400,0.6431,63.71,61.03
9600,0.6336,62.10,61.23
9800,0.6557,64.72,61.45
10000,0.6465,64.42,61.16
10200,0.6486,64.01,61.23
10400,0.6923,64.52,61.52
10600,0.6323,66.53,61.58
10800,0.6462,64.92,60.97
11000,0.6335,65.93,61.29
11200,0.6100,62.00,61.39
11400,0.6255,63.51,61.03
11600,0.6552,65.42,60.00
11800,0.6331,67.64,60.00
12000,0.6230,66.83,59.87
12200,0.6262,64.92,60.19
12400,0.6563,66.23,59.65
12600,0.6323,67.84,59.29
12800,0.6569,60.89,60.39
13000,0.6354,68.15,58.74
13200,0.6167,67.34,59.29
13400,0.6066,67.04,59.48
13600,0.6547,66.43,59.35
13800,0.6388,67.74,58.19
14000,0.6155,69.86,59.19
14200,0.5943,69.76,59.71
14400,0.6286,69.15,58.23
14600,0.6144,66.33,58.10
14800,0.6095,69.46,58.97
15000,0.5998,69.66,58.10
15200,0.5828,67.64,58.35
15400,0.6001,69.15,56.94
15600,0.5884,69.25,57.23
15800,0.6063,67.24,57.26
16000,0.6203,71.67,58.03
16200,0.5837,74.70,57.61
16400,0.6004,71.27,57.74
16600,0.5840,69.76,57.90
16800,0.5943,72.98,58.06
17000,0.6000,69.15,57.23
17200,0.5730,72.08,57.16
17400,0.6045,73.79,57.65
17600,0.6205,74.50,57.39
17800,0.5698,71.37,58.16
18000,0.5729,72.88,56.97
18200,0.5673,75.30,57.77
18400,0.5408,73.19,57.10
18600,0.5506,74.70,56.65
18800,0.5806,71.88,57.61
19000,0.5519,73.49,57.48
19200,0.5558,81.05,56.32
19400,0.5688,76.11,56.84
19600,0.5597,75.71,57.03
19800,0.5386,73.19,56.68
20000,0.5371,74.80,56.84
