Training Log - 20250611_131512
Parameters:
  Sequence Length: 32
  Correlation Strength Param: 8
  Train Dataset Size: 1000
  Test Dataset Size: 100
  Model: 4 layers, d_model=512, nhead=8
  Training Steps: 20000
  Batch Size: 32
  Learning Rate: 0.0001
Theoretical True Per-Bit Entropy (Lower Bound NLL): 0.6616

Step,Model_NLL,Memorization_Accuracy(Train),Generalization_Accuracy(Test)
200,0.6716,62.60,62.97
400,0.6584,61.39,62.97
600,0.6557,62.40,62.97
800,0.6670,62.20,62.97
1000,0.6539,63.61,62.97
1200,0.6570,62.50,62.97
1400,0.6601,63.71,62.97
1600,0.6754,64.21,62.97
1800,0.6546,62.30,62.97
2000,0.6549,64.21,62.97
2200,0.6609,61.49,62.97
2400,0.6678,63.31,62.97
2600,0.6574,62.60,62.97
2800,0.6612,62.40,62.97
3000,0.6597,63.10,62.97
3200,0.6673,62.90,62.97
3400,0.6695,62.70,62.94
3600,0.6607,63.00,62.97
3800,0.6460,62.40,62.94
4000,0.6664,62.80,62.94
4200,0.6630,63.61,62.90
4400,0.6541,63.21,62.58
4600,0.6499,62.40,63.06
4800,0.6588,62.00,63.03
5000,0.6496,62.30,62.74
5200,0.6371,64.11,62.45
5400,0.6559,66.03,61.87
5600,0.6592,62.90,62.16
5800,0.6604,61.49,61.42
6000,0.6398,62.10,62.00
6200,0.6358,65.22,61.06
6400,0.6309,64.52,60.32
6600,0.6123,65.02,59.81
6800,0.6190,67.94,58.87
7000,0.6264,68.95,57.97
7200,0.6190,70.87,56.81
7400,0.6238,69.05,56.58
7600,0.5878,74.29,57.81
7800,0.5357,74.80,56.13
8000,0.5367,75.60,55.68
8200,0.5515,76.41,55.39
8400,0.5235,80.44,54.77
8600,0.5008,79.54,55.35
8800,0.4897,81.35,55.26
9000,0.4425,82.56,55.61
9200,0.4482,83.37,53.87
9400,0.4261,83.87,55.00
9600,0.4558,82.86,54.81
9800,0.4335,83.27,55.42
10000,0.4161,83.27,55.16
10200,0.3825,87.30,55.52
10400,0.3364,83.87,54.29
10600,0.3804,84.27,54.39
10800,0.3804,84.17,54.35
11000,0.3667,84.78,54.48
11200,0.4086,86.39,54.87
11400,0.3309,85.99,54.45
11600,0.3292,86.79,54.48
11800,0.3671,86.69,54.23
12000,0.3412,85.79,54.26
12200,0.3502,86.29,53.90
12400,0.3226,86.69,53.32
12600,0.3517,87.10,55.00
12800,0.3796,86.29,54.52
13000,0.3159,87.80,54.68
13200,0.3054,87.40,53.55
13400,0.3002,87.90,54.16
13600,0.3104,88.10,54.48
13800,0.2959,88.51,53.58
14000,0.3085,88.41,54.48
14200,0.3136,87.60,52.68
14400,0.2816,87.50,54.94
14600,0.2907,87.10,54.29
14800,0.2731,87.50,53.84
15000,0.2870,87.20,55.03
15200,0.2953,87.30,53.84
15400,0.2705,88.81,53.29
15600,0.2620,88.71,54.74
15800,0.2770,88.21,54.32
16000,0.2868,88.81,53.94
16200,0.2915,87.60,53.68
16400,0.2774,89.31,53.97
16600,0.2630,87.00,53.29
16800,0.2606,87.00,54.06
17000,0.2597,88.21,53.61
17200,0.2899,88.61,52.81
17400,0.2702,87.00,53.16
17600,0.3057,87.80,53.55
17800,0.2818,86.79,53.03
18000,0.2574,87.60,54.55
18200,0.2603,88.10,53.77
18400,0.2391,87.20,53.32
18600,0.2595,88.10,54.29
18800,0.2461,86.90,53.35
19000,0.2475,89.62,54.13
19200,0.2682,86.69,53.68
19400,0.2821,88.00,53.68
19600,0.2679,87.60,54.00
19800,0.2425,88.51,53.65
20000,0.2432,88.61,53.10
